source_id,destination_id,units_shipped,total_cost
S611909d,D3d03c41,10708,1941.17
S611909d,Da7cec12,14590,4387.68
S611909d,D7c2a294,17696,431.61
S611909d,D3d03c41,16746,2700.83
S611909d,D7c2a294,19906,1082.69
S611909d,D48b24ce,11626,436.68
S611909d,D48b24ce,18531,1807.9
S611909d,D48b24ce,15366,3343.04
S611909d,D7c2a294,12633,3213.71
S611909d,D662583f,16965,111.48
S611909d,Db51b0fe,13033,529.47
S611909d,D3d03c41,12125,1106.79
S611909d,Db51b0fe,18551,2052.2
S611909d,D48b24ce,19677,542.32
S611909d,D7c2a294,17978,1696.95
S611909d,Da7cec12,17030,1545.16
S611909d,D662583f,11049,404.08
S611909d,D48b24ce,10722,1796.59
S611909d,D3d03c41,15164,626.0
S611909d,D3d03c41,15351,3396.9
S611909d,Da7cec12,11083,-213.55
S611909d,Db51b0fe,17712,2313.63
S611909d,Db51b0fe,19826,-384.13
S611909d,D48b24ce,11141,752.7
S611909d,D3d03c41,16555,2504.47
S611909d,D48b24ce,13169,1153.09
S611909d,Da7cec12,15560,2034.19
S611909d,Da7cec12,18436,566.57
S611909d,Db51b0fe,12360,2232.53
S611909d,D48b24ce,11417,6594.01
S611909d,Da7cec12,13201,2385.84
S611909d,D3d03c41,13996,1277.58
S611909d,Db51b0fe,19548,2944.42
S611909d,D662583f,13569,903.31
S611909d,Db51b0fe,19102,1158.06
S611909d,D662583f,12290,818.16
S611909d,D7c2a294,13803,2683.17
S611909d,Da7cec12,17112,3263.8
S611909d,D3d03c41,15940,4483.64
S611909d,D7c2a294,17246,593.09
S611909d,D662583f,11141,184.62
S611909d,Da7cec12,17961,-346.08
S611909d,D48b24ce,17981,1214.81
S611909d,D3d03c41,16250,1320.83
S611909d,D7c2a294,11643,2030.43
S611909d,Da7cec12,17167,12.56
S611909d,Da7cec12,10693,2039.49
S611909d,D7c2a294,19317,-108.36
S611909d,Db51b0fe,19581,795.48
S611909d,D3d03c41,15151,473.95
S611909d,D7c2a294,18987,-106.51
S611909d,D7c2a294,11110,-62.32
S611909d,D7c2a294,14626,795.51
S611909d,Da7cec12,11929,1082.34
S611909d,Db51b0fe,18881,2277.52
S611909d,Db51b0fe,14586,446.7
S611909d,D7c2a294,13607,1012.23
S611909d,D3d03c41,11219,1248.47
S611909d,D662583f,17654,469.09
S611909d,D662583f,15631,1822.13
S611909d,Db51b0fe,15445,-299.25
S611909d,D3d03c41,17295,1232.82
S611909d,D7c2a294,10820,2427.9
S611909d,D662583f,14141,1507.03
S611909d,D48b24ce,19209,2450.32
S611909d,D662583f,13113,610.69
S611909d,D662583f,18427,673.9
S611909d,D48b24ce,15615,2460.31
S611909d,Db51b0fe,14796,601.09
S611909d,D662583f,16124,428.44
S611909d,D7c2a294,16902,4468.72
S611909d,Da7cec12,16441,-152.38
S611909d,Da7cec12,11599,1168.39
S611909d,D48b24ce,15963,1717.0
S611909d,Da7cec12,11662,8.53
S611909d,D7c2a294,19085,1038.04
S611909d,D662583f,17766,1360.37
S611909d,D48b24ce,18383,874.31
S611909d,Da7cec12,14961,2105.49
S611909d,D3d03c41,18777,4342.78
S611909d,D662583f,10802,503.06
S611909d,Da7cec12,12596,890.94
S611909d,D662583f,13500,223.71
S611909d,Db51b0fe,10873,1529.02
S611909d,D48b24ce,13590,5674.65
S611909d,D3d03c41,19148,1173.43
S611909d,Db51b0fe,18251,1471.49
S611909d,D48b24ce,19030,1475.99
S611909d,D48b24ce,17669,3844.08
S611909d,Da7cec12,10538,639.99
S611909d,D48b24ce,11902,1399.21
S611909d,D48b24ce,18995,2992.87
S611909d,D3d03c41,14922,914.45
S611909d,D662583f,10598,281.6
S611909d,D662583f,10603,281.74
S611909d,D3d03c41,16785,2203.57
S611909d,D3d03c41,17977,9550.86
S611909d,Db51b0fe,14051,-131.73
S611909d,D3d03c41,15923,657.33
S611909d,D7c2a294,10210,555.32
S611909d,Db51b0fe,15218,161.69
S611909d,Da7cec12,15596,-300.51
S611909d,Da7cec12,19962,6003.21
S611909d,D48b24ce,19537,1124.57
S611909d,Da7cec12,17614,189.03
S611909d,Da7cec12,10584,642.78
S611909d,D3d03c41,13117,3951.92
S611909d,D3d03c41,10956,1657.45
S611909d,D48b24ce,14137,1520.59
S611909d,D662583f,19558,1497.58
S611909d,Da7cec12,14067,-130.38
S611909d,D3d03c41,18934,3243.05
S611909d,D662583f,15035,1000.9
S611909d,Da7cec12,14975,310.46
S611909d,Db51b0fe,19200,2700.0
S611909d,D3d03c41,10054,415.05
S611909d,D3d03c41,12882,789.44
S611909d,D7c2a294,10315,2417.74
S611909d,D3d03c41,13745,842.32
S611909d,D7c2a294,19507,1841.27
S611909d,D3d03c41,10155,1434.72
S611909d,D48b24ce,17605,1717.56
S611909d,D3d03c41,12976,1184.48
S611909d,D3d03c41,16270,834.36
S611909d,D7c2a294,19015,1794.83
S611909d,D3d03c41,16573,684.17
S611909d,D662583f,16344,107.4
S611909d,D7c2a294,15202,370.78
S611909d,Db51b0fe,19336,978.89
S611909d,Da7cec12,12100,-354.15
S611909d,D3d03c41,10794,553.54
S611909d,D3d03c41,10817,1528.25
S611909d,D48b24ce,14774,702.67
S611909d,D48b24ce,12136,4824.8
S611909d,D662583f,16338,1251.02
