source_id,destination_id,units_shipped,total_cost
Sb5c3a67,D662583f,17109,3584.54
Sb5c3a67,D48b24ce,13319,4716.49
Sb5c3a67,D7c2a294,14801,1040.07
Sb5c3a67,D7c2a294,16655,2003.1
Sb5c3a67,Db51b0fe,16857,1097.67
Sb5c3a67,D662583f,18239,1815.0
Sb5c3a67,D662583f,19902,1980.49
Sb5c3a67,D7c2a294,15162,610.58
Sb5c3a67,Da7cec12,17616,-268.64
Sb5c3a67,Db51b0fe,14225,2917.78
Sb5c3a67,D7c2a294,17669,1948.37
Sb5c3a67,D48b24ce,15766,-92.74
Sb5c3a67,Da7cec12,10332,875.64
Sb5c3a67,D662583f,18957,6625.7
Sb5c3a67,D662583f,10163,503.19
Sb5c3a67,Db51b0fe,11430,972.88
Sb5c3a67,D7c2a294,17760,3201.6
Sb5c3a67,D662583f,14227,988.95
Sb5c3a67,D3d03c41,12083,732.78
Sb5c3a67,D7c2a294,19806,203.41
Sb5c3a67,Db51b0fe,14860,1859.23
Sb5c3a67,Db51b0fe,17189,4557.08
Sb5c3a67,D48b24ce,19600,4000.71
Sb5c3a67,Da7cec12,13990,10419.05
Sb5c3a67,D662583f,19538,1162.75
Sb5c3a67,Db51b0fe,17038,768.69
Sb5c3a67,D662583f,16323,1950.8
Sb5c3a67,Db51b0fe,18787,-91.75
Sb5c3a67,D3d03c41,14675,596.47
Sb5c3a67,D662583f,14070,555.94
Sb5c3a67,D7c2a294,14850,1192.01
Sb5c3a67,Db51b0fe,10074,1058.94
Sb5c3a67,Da7cec12,15621,1948.72
Sb5c3a67,Db51b0fe,11988,2818.57
Sb5c3a67,Db51b0fe,10865,381.54
Sb5c3a67,D3d03c41,15663,949.89
Sb5c3a67,D3d03c41,13612,1914.46
Sb5c3a67,D7c2a294,10265,413.37
Sb5c3a67,D662583f,13983,2929.61
Sb5c3a67,D3d03c41,14949,906.58
Sb5c3a67,Db51b0fe,11054,1383.04
Sb5c3a67,Da7cec12,15835,3717.27
Sb5c3a67,D662583f,12454,367.54
